registration_number,registry_name,foi_name,match_score,postcode_areas,postcode_count,cities,geographic_reach
PF000392,Anne Gordon,Anne Gordon,100.0,"G1,G11,G12,G13,G20,G3,G31,G4,G41,G42,G43,G44,G51,G52,G72,G73",16,,national
PF000709,Aquila Management Services Limited,Aquila Management Services Limited,100.0,"EH12,G12,G3,G31,G32,G41,G42,G73,G82,ML3,ML5,ML6,PA2",13,"Airdrie,Caldercruix,Coatbridge,Dumbarton,Edinburgh,Glasgow,Hamilton,Paisley,Rutherglen",regional
PF000513,Archerfield House Hotel Management Limited,Archerfield House Hotel Management Limited,100.0,"EH39,EH41",2,Dirleton,local
PF000168,Ardenglen Housing Association Ltd,Ardenglen Housing Association Ltd,100.0,G45,1,Castlemilk,local
PF000302,Argyll Community Housing Association Limited,Argyll Community Housing Association Limited,100.0,"G82,G83,G84,PA20,PA21,PA22,PA23,PA24,PA27,PA28,PA29,PA30,PA31,PA32,PA33,PA34,PA35,PA37,PA38,PA42,PA43,PA45,PA46,PA48,PA49,PA65,PA72,PA75",28,"Appin,Ardrishaig,Arrochar,Ballygrant,Bonawe,Bowmore,Bruichladdich,Cairnbaan,Campbeltown,Carradale,Clachan,Colintraive,Connel,Craignure,Dalmally,Drumlemble,Dunbeg,Dunoon,Furnace,Helensburgh,Innellan,Inveraray,Kames,Keills,Lochgilphead,Lochgoilhead,Machrihanish,Muasdale,Oban,Port Charlotte,Port Ellen,Rothesay,Saddell,Salen,Sandbank,Stewarton,Strachur,Strone,Tarbert,Tayinloan,Taynuilt,Tighnabruaich,Tobermory",national
PF001070,Argyll Letting Services Limited,Argyll Letting Services Limited,100.0,PA23,1,,local
PF000926,ASC Asset Management (EK) Ltd,ASC Asset Management (EK) Ltd,100.0,G81,1,,local
PF000316,Atholls Ltd,Atholls Ltd,100.0,"AB10,AB11,AB14,AB15,AB21,AB24,AB25,AB33,AB34,AB39,AB41,AB42,AB43,AB45,AB51,AB53,DD10,DD5,EH8,PH8",20,"Fraserburgh,Peterhead,Stonehaven",national
PF000189,Atrium Initiatives Limited,Atrium Initiatives Limited,100.0,"KA1,KA3,KA4",3,"Galston,Kilmarnock,Stewarton",local
PF000978,Avongreen Abodes Ltd,Avongreen Abodes Ltd,100.0,ML3,1,Hamilton,local
PF000260,Ayrshire Housing,Ayrshire Housing,100.0,"KA1,KA10,KA19,KA2,KA26,KA6,KA7,KA8,KA9",9,"Ayr,Dailly,Dundonald,Girvan,Prestwick,Troon",regional
PF000435,Bastion Property Management Ltd,Bastion Property Management Ltd,100.0,FK8,1,,local
PF000626,Bell Ingram LLP,Bell Ingram LLP,100.0,PA16,1,,local
PF000721,BeneFactors Property Management Limited,BeneFactors Property Management Limited,100.0,"AB11,AB15,AB24,AB31,AB39",5,,regional
PF000146,Bield Housing & Care,Bield Housing & Care,100.0,"DD5,EH11,EH16,EH39,EH6,FK2,FK7,FK8,FK9,G13,G14,G61,G77,KA7,KY1,KY12,KY19,PH2",18,,national
PF000422,Blackadders LLP,Blackadders LLP,100.0,DD4,1,,local
PF000298,Blackwood Homes & Care,Blackwood Homes & Care,100.0,"EH53,G20,KA25,KY1,ML2,ML6,PA16,PA4",8,,regional
PF000276,Blairtummock Housing Association Limited,Blairtummock Housing Association Limited,100.0,G34,1,,local
PF000257,Blochairn Housing Association Ltd,Blochairn Housing Association Ltd,100.0,"802032,G21",2,,local
PF000441,Block Property Management Ltd,Block Property Management Ltd,100.0,"PH34,PH35",2,"By Spean Bridge,Invergarry",local
PF000869,Blosshome Property Management Ltd,Blosshome Property Management Ltd,100.0,"PA20,PA23",2,,local
PF000449,Blythswood Property Management Ltd,Blythswood Property Management Ltd,100.0,"DG8,EH1,EH10,EH49,EH9,G11,G12,G2,G20,G3,G4,G61,G77,G84,KA1,KY13,ML1,ML3,PH15,PH16,PH2",21,,national
PF001016,Bowman Rebecchi Limited,Bowman Rebecchi Limited,100.0,PA16,1,,local
PF000719,Brian Stewart,Brian Stewart,100.0,DD3,1,dundee,local
PF000105,Bridgewater Housing Association Limited,Bridgewater Housing Association Limited,100.0,PA8,1,Erskine,local
PF000830,Brio Retirement Living (Holdings) Limited,Brio Retirement Living (Holdings) Limited,100.0,AB39,1,,local
PF000974,Bryan Murray,Bryan Murray,100.0,DD1,1,,local
PF000769,Bute Factors Ltd,Bute Factors Ltd,100.0,PA20,1,,local
PF000259,Cadder Housing Association,Cadder Housing Association,100.0,"G20,G23",2,,local
PF000292,Cairn Housing Association Ltd,Cairn Housing Association Ltd,100.0,"EH47,G22,IV1,IV12,IV15,IV16,IV2,IV3,IV6,IV7,IV8,KW1,KW14,ML5,PH22,PH24",16,,national
PF000764,Calderwood Community Services Limited,Calderwood Community Services Limited,100.0,EH53,1,,local
PF000222,Caledonia Housing Association Limited,Caledonia Housing Association Limited,100.0,"DD2,DD3,DD5,DD6,DD7,DD8,DD9,G33,G62,G64,G66,G69,G81,G82,IV2,ML5,PH1,PH10,PH13,PH15,PH16,PH2,PH7,PH8",24,,national
PF000331,Calvay Housing Association Ltd,Calvay Housing Association Ltd,100.0,G33,1,Glasgow,local
PF000154,Cassiltoun Housing Association Limited,Cassiltoun Housing Association Limited,100.0,G45,1,,local
PF000161,Castlehill Housing Association Limited,Castlehill Housing Association Limited,100.0,"AB10,AB14,AB15,AB24,AB30,AB31,AB34,AB39,AB51,AB53,AB54",11,,regional
PF000230,Cathcart and District Housing Association Limited,Cathcart and District Housing Association Limited,100.0,"G42,G44",2,,local
PF000149,Cernach Housing Association Limited,Cernach Housing Association Limited,100.0,G15,1,Glasgow,local
PF000727,Chapelton Community Interest Company,Chapelton Community Interest Company,100.0,AB39,1,Chapelton,local
PF000225,Charing Cross Housing Association Ltd,Charing Cross Housing Association Ltd,100.0,"G11,G12,G2,G20,G3,G4,G41",7,,regional
PF000153,Charles White Limited,Charles White Limited,100.0,"DD5,EH1,EH10,EH11,EH12,EH13,EH14,EH15,EH16,EH17,EH18,EH19,EH20,EH21,EH22,EH26,EH29,EH3,EH30,EH31,EH32,EH39,EH4,EH41,EH45,EH49,EH5,EH51,EH52,EH53,EH54,EH6,EH7,EH8,EH9,FK10,FK14,FK2,FK5,FK9,G43,G76,KY1,KY11,KY12,KY2,KY3,KY8,PH1,PH10,PH2,PH3,PH7,TD14,TD2",55,,national
PF001055,Chesnutt Skeoch Ltd,Chesnutt Skeoch Ltd,100.0,PA18,1,,local
PF000927,Christopher Moore,Christopher Moore,100.0,PH2,1,,local
PF000773,CKD Galbraith LLP,CKD Galbraith LLP,100.0,"PH15,PH2,PH3",3,,local
PF000171,Cloch Housing Association Ltd,Cloch Housing Association Ltd,100.0,"PA14,PA15,PA16",3,Greenock,local
PF000106,Clyde Valley Property Services Limited,Clyde Valley Property Services Limited,100.0,"G67,G71,G72,ML1,ML11,ML3,ML4,ML5,ML6,ML7,ML8,ML9",12,"Airdrie,Bellshill,Blantyre,Cambuslang,Carluke,Coatbridge,Douglas,Hamilton,Harthill,Holytown,Lesmahagow,Motherwell,Newarthill,Uddingston",regional
PF000231,Clydebank Housing Association Limited,Clydebank Housing Association Limited,100.0,G81,1,Clydebank,local
PF000354,Clydeport Properties Ltd,Clydeport Properties Ltd,100.0,"KA22,PA15",2,Ardrossan,local
