registration_number,name,trading_name,trading_type,address,city,postcode,website,property_count,status
PF000719,Brian Stewart,BS Properties,Sole Trader,"23 South Tay Street, Dundee, DD1 1NR",Dundee,DD1 1NR,https://www.bs-properties.co.uk,0,Registered
PF000105,Bridgewater Housing Association Limited,Bridgewater Housing Association Limited,Registered Social Landlord,"Ground Floor West, India of Inchinnan, Greenock Road, Inchinnan, PA4 9LH",Ground Floor West,PA4 9LH,https://www.bridgewaterha.org.uk,2686,Registered
PF000906,Brio Retirement Living (Chapelton) Limited,Brio Retirement Living (Chapelton) Limited,Company,"1 Hay Avenue, Edinburgh, EH16 4RW",Edinburgh,EH16 4RW,https://www.brioretirement.co.uk/,26,Registered
PF000830,Brio Retirement Living (Holdings) Limited,Brio Retirement Living (Holdings) Limited,Company,"305 Gray's End Road, London, WC1X 8QR",London,WC1X 8QR,https://www.brioretirement.co.uk,94,Registered
PF000456,Brooke & Brown,Brooke & Brown,Sole Trader,"116  High Street, Dunbar, EH42 1JJ",Dunbar,EH42 1JJ,,0,Registration expired on 29/03/2016
PF000407,Bruce Macphail trading as guardian property F.S,Bruce Macphail trading as guardian property F.S,Sole Trader,"52, kempock st, Gourock, PA19 1ND",kempock st,PA19 1ND,,0,Registration expired on 11/06/2019
PF000974,Bryan Murray,IB Murray & Son,Sole Trader,"87 Perth Road, Dundee, DD1 4HZ",Perth,DD1 4HZ,,0,Registration expired on 07/08/2025
PF000119,Bute Factoring Services Ltd,Bute Factoring Services Ltd,Company,"53 Victoria Street, Rothesay, PA20 0AP",Rothesay,PA20 0AP,,0,Registration expired on 03/12/2018
PF000769,Bute Factors Ltd,Bute Factors Ltd,Company,"53 Victoria Street, Rothesay, PA20 0AP",Rothesay,PA20 0AP,,382,Registered
PF000956,C-urb 6 Ltd,Curb Factoring,Company,"Link House, 2c New Mart Road, Edinburgh, EH14 1RL",Link House,EH14 1RL,,7175,Registered
PF000259,Cadder Housing Association,Cadder Housing Association,Registered Social Landlord,"20 Fara Street, Cadder, Glasgow, G23 5AE",Cadder,G23 5AE,https://www.cadderha.co.uk,1102,Registered
PF000292,Cairn Housing Association Ltd,Cairn Housing Association Ltd,Registered Social Landlord,"Bellevue House, 22 Hopetoun Street, Edinburgh, EH7 4GH",Bellevue House,EH7 4GH,https://www.cairnha.com,2643,Registered
PF000417,Cairngorm Solutions Ltd,Cairngorm Solutions Ltd,Company,"15 Dalfaber Park, Aviemore, PH22 1QF",Aviemore,PH22 1QF,,0,Registration expired on 29/06/2022
PF000764,Calderwood Community Services Limited,Calderwood Community Services Limited,Company,"Unit 1A, Halbeath Interchange Business Park, Kingseat Road, Dunfermline, KY11 8RY",Kingseat Road,KY11 8RY,https://www.calderwoodcommunityservices.co.uk,976,Registered
PF000222,Caledonia Housing Association Limited,Caledonia Housing Association Limited,Registered Social Landlord,"Suite 4, Saltire House, 3 Whitefriars Crescent, Perth, PH2 0PA",Saltire House,PH2 0PA,https://www.caledoniaha.co.uk,1992,Registered
PF000331,Calvay Housing Association Ltd,Calvay Housing Association Ltd,Registered Social Landlord,"The Calvay Centre, 16 Calvay Road, Barlanark, Glasgow, G33 4RE",The Calvay Centre,G33 4RE,https://www.calvay.org.uk,122,Registered
PF000410,Cameron & Wright,Cameron & Wright,Partnership,"4 Crow Road, Glasgow, G11 7RT",Glasgow,G11 7RT,,0,Registration expired on 23/04/2019
PF000495,Capita Property & Infrastructure Limited,Capita Property & Infrastructure Limited,Company,"125 Shaftesbury Avenue, London, WC2H 8AD",London,WC2H 8AD,,0,Registration expired on 29/03/2017
PF000682,Carden (Buchan Braes) Ltd,Carden (Buchan Braes) Ltd,Company,"22 Rubislaw Terrace, Aberdeen, AB10 1XE",Aberdeen,AB10 1XE,,0,Registration expired on 08/10/2019
PF000138,Cassea Limited (EXPIRED),Cassea Limited (EXPIRED),Company,"Suite 1.7 Turnberry House, 175 West George Street, Glasgow, G2 2LB",Glasgow,G2 2LB,,0,Registration expired on 27/03/2018
PF000154,Cassiltoun Housing Association Limited,Cassiltoun Housing Association Limited,Registered Social Landlord,"59 Machrie Road, Glasgow, G45 0AZ",Glasgow,G45 0AZ,https://www.cassiltoun.org.uk,382,Registered
PF000161,Castlehill Housing Association Limited,Castlehill Housing Association,Registered Social Landlord,"4 Carden Place, Aberdeen, AB10 1UT",Aberdeen,AB10 1UT,https://www.castlehillha.co.uk,136,Registered
PF000230,Cathcart and District Housing Association Limited,Cathcart and District Housing Association Limited,Registered Social Landlord,"3 Rhannan Road, Cathcart, Glasgow, G44 3AZ",Cathcart,G44 3AZ,https://www.cathcartha.co.uk,920,Registered
PF001111,Catherine Hughes,CMH Property Management,Sole Trader,"The Old Bakehouse, 10 East Princes Street, Rothesay, PA20 9DL",The Old Bakehouse,PA20 9DL,,0,Registered
PF000185,Cd Environmental Design,Cd Environmental Design,Company,"Mile End Mill, Abbey Mills, PAISLEY, PA1 1JS",Mile End Mill,PA1 1JS,,0,Registration expired on 14/01/2016
PF000149,Cernach Housing Association Limited,Cernach Housing Association Limited,Registered Social Landlord,"Marion McDonald House, 79 Airgold Drive, Drumchapel, Glasgow, G15 7AJ",Marion McDonald House,G15 7AJ,https://www.cernachha.co.uk,141,Registered
PF000727,Chapelton Community Interest Company,Chapelton Community Interest Company,Company,"c/o Southesk Estate, Estate Office, Haughs of Kinnaird, Brechin, DD9 6UA",c/o Southesk Estate,DD9 6UA,,30,Registered
PF000225,Charing Cross Housing Association Ltd,Charing Cross Housing Association Ltd,Registered Social Landlord,"40 Barrowfield Drive, Glasgow, G40 3QH",Glasgow,G40 3QH,,0,Registration expired on 04/12/2024
PF000153,Charles White Limited,Charles White Limited,Company,"14 New Mart Road, Edinburgh, EH14 1RL",Edinburgh,EH14 1RL,https://www.charleswhite.co.uk,9487,Registered
PF001055,Chesnutt Skeoch Ltd,Chesnutt Skeoch Ltd,Company,"30 East Main Street, Darvel, KA17 0HP",Darvel,KA17 0HP,,27,Registered
PF000927,Christopher Moore,Factor Moore,Sole Trader,"Nevay View Cottage, West Nevay Farm, Newtyle, BLAIRGOWRIE, PH12 8SJ",Nevay View Cottage,PH12 8SJ,,6,Registered
PF000504,City Factoring Limited,City Factoring Limited,Company,"Unit 1, Aitrium Business Centre, Coatbridge, ML5 4EF",Aitrium Business Centre,ML5 4EF,,0,Registration expired on 12/12/2016
PF000773,CKD Galbraith LLP,CKD Galbraith LLP,Partnership,"59 George Street, Edinburgh, EH2 2JG",Edinburgh,EH2 2JG,,0,Registration expired on 14/01/2025
PF000604,Clackan Ltd,Clackan Ltd,Company,"9 Ashgrove, Scone, Perth, PH2 6NU",Scone,PH2 6NU,,0,Registration expired on 04/09/2018
PF000327,Clackmannanshire Council,Clackmannanshire Council,Local Authority,"Kilncraigs, Greenside Street, Alloa, FK10 1EB",Kilncraigs,FK10 1EB,,0,Registration expired on 29/11/2022
PF000455,Clackmannanshire Services Ltd,Clackmannanshire Services Ltd,Company,"49 Laird's Drive, Trading as: Bavaria Construction &, Property Management, Clackmannan, FK10 4EQ",Property Management,FK10 4EQ,,0,Registration expired on 29/03/2016
PF000317,Clan Gordon Ltd,Clan Gordon Ltd,Company,"Unit 1b, 1 Carmichael Place, Edinburgh, EH6 5PH",Edinburgh,EH6 5PH,,0,Registration expired on 19/03/2019
PF001151,Clan Property Management Ltd,Clan Property Management Ltd,Company,"Unit 106 Embroidery Mill, Abbey Mill Business Centre, Paisley, PA1 1TJ",Abbey Mill Business Centre,PA1 1TJ,https://www.clanpm.co.uk,0,Registered
PF000629,Clark Family Investments Ltd,Clark Family Investments Ltd,Company,"10B Wellmeadow Street, Paisley, PA1 2EE",Paisley,PA1 2EE,,0,Registration expired on 04/04/2022
PF000966,Cleodius Limited,Cleodius Limited,Company,"71-75 Shelton Street, London, WC2H 9JQ",London,WC2H 9JQ,,0,Registered
PF000132,Click-let Ltd,Click-let Ltd,Company,"30 Queensferry Road, Level 2, Edinburgh, EH4 2HS",Edinburgh,EH4 2HS,,0,Registration expired on 14/01/2019
PF000171,Cloch Housing Association Ltd,Cloch Housing Association Ltd,Registered Social Landlord,"19 Bogle Street, Greenock, PA15 1ER",Greenock,PA15 1ER,https://www.clochhousing.org.uk/,307,Registered
PF000576,Clune Park Estates Ltd,Clune Park Estates Ltd,Company,"1 Mansion Avenue, Port Glasgow, Renfrewshire, PA14 6QP",Glasgow,PA14 6QP,,0,Registration expired on 05/02/2018
