registration_number,name,status
PF000914,KAI Property Services Ltd,Active
PF000366,Karen Fraser (Karen Fraser Factor),Expired
PF000839,Keith Innes (Lightbulb Moments),Expired
PF000193,Kingdom Housing Association Ltd,Active
PF000890,Kingdom Initiatives Limited,Active
PF000120,Klin Facilities Management Limited,Active
PF000454,Knight Property Services Scotland Ltd,Expired
PF000201,Knowes Housing Association Ltd,Active
PF001001,Kona Property Management Ltd,Active
PF000520,KPM Residential Limited,Expired
PF000656,Ladysbridge Village Ltd,Active
PF000658,Laird Property Solutions Ltd,Expired
PF000275,Lanarkshire Housing Association Ltd,Active
PF000716,Lancefield Quay Riverside Limited,Active
PF000732,Land Trust Estates Scotland Limited,Expired
PF000705,Land Trust Residential Services Limited,Expired
PF000666,Langstane Housing Association Limited,Active
PF000815,LAR Housing Trust,Active
PF000814,LAR Operations C.I.C.,Active
PF000279,Larkfield Housing Association Limited,Active
PF000752,Lettingsupermarket.com Limited,Expired
PF000096,Levern Property Services Ltd,Expired
PF000203,Life Property Management Ltd,Expired
PF000355,Link Housing Association Limited,Expired
PF000202,Linstone Housing Association Limited,Active
PF000162,Linthouse Housing Association Limited,Active
PF000620,Lisney (NI) Ltd,Expired
PF000737,LIV Group Limited,Expired
PF000122,Lloyd Younger Ltd,Expired
PF000615,Loch Tay Highland Lodge Park Ltd,Active
PF000340,Lochaber Housing Association Ltd,Active
PF000363,Lochaber Housing Association Property Services CIC,Active
PF000139,Lochalsh & Skye Housing Association,Active
PF000426,Lochaweside Management Company Ltd,Expired
PF000221,Lochfield Park Housing Association Limited,Active
PF000399,Lomond Estate Agents Ltd,Expired
PF000359,Lomond Property Factors Ltd,Active
PF000938,Loreburn Housing Association Limited,Active
PF000402,Loretto Housing Association Ltd,Active
PF000842,Lorimer Property Group Ltd,Active
PF001038,Louise Todd Property Management Ltd,Active
PF000785,Lowther Homes Limited,Active
PF000781,LYALL BUILDING SOLUTIONS LTD,Expired
PF000098,Macfie & Co Management Services Ltd,Active
PF000547,MAJR Properties Limited,Expired
PF000693,Managing Estates Limited,Active
PF000997,Manor Estates Associates Ltd,Active
PF000157,Manor Estates Housing Association Ltd,Active
PF000821,Mark Kelly (84 Main Street),Expired
