registration_number,name,trading_name,trading_type,address,city,postcode,website,property_count,status,tribunal_total_cases,tribunal_negative_outcomes,tribunal_positive_outcomes,tribunal_neutral_outcomes,tribunal_pfeo_issued,tribunal_pfeo_proposed,tribunal_pfeo_resolved,tribunal_pfeo_unresolved,tribunal_pfeo_pending,tribunal_complied,tribunal_failure_to_comply,tribunal_dismissed,tribunal_rejected,tribunal_withdrawn,tribunal_other_outcomes,tribunal_upper_tribunal_appeals,tribunal_section_1_violations,tribunal_section_2_violations,tribunal_section_3_violations,tribunal_section_4_violations,tribunal_section_5_violations,tribunal_section_6_violations,tribunal_section_7_violations,tribunal_pf_duty_violations,tribunal_earliest_case,tribunal_latest_case,tribunal_case_refs
PF000186,ProAct Property Ltd,ProAct Property Ltd,Company,"17 Buchanan Drive, Cambuslang, Glasgow, G72 8BD",Cambuslang,G72 8BD,,0,Registration expired on 02/08/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000450,Property One (Scotland) Ltd,Property One (Scotland) Ltd,Company,"69 Buchanan St, Glasgow, G1 3HL",Glasgow,G1 3HL,,0,Registration expired on 29/03/2016,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000204,Prospect Community Housing Ltd,Prospect Community Housing Ltd,Registered Social Landlord,"6 Westburn Avenue, Edinburgh, EH14 2TH",Edinburgh,EH14 2TH,https://www.prospectch.org.uk,169,Registered,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2018-09-20,2018-09-20,FTS/HPC/LM/17/0427
PF000610,Prospect Property Factors Ltd,Prospect Property Factors Ltd,Company,"37 Hamilton Road, Bellshill, ML4 1AG",Hamilton,ML4 1AG,,0,Registration expired on 25/08/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000389,Provanhall Housing Association,Provanhall Housing Association,Registered Social Landlord,"34 Conisborough Road, Provanhall, Easterhouse, Glasgow, G34 9QG",Provanhall,G34 9QG,https://www.provanhallha.org.uk,16,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000381,Quarriers,Quarriers,Company,"Quarriers Head Office, 20 St. Kenneth Drive, Glasgow, G51 4QD",Quarriers Head Office,G51 4QD,https://www.quarriers.org.uk,7,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000418,Quartermile Estates Ltd,Quartermile Estates Ltd,Company,"9 Simpson Loan, Edinburgh, EH3 9GQ",Edinburgh,EH3 9GQ,,0,Registration expired on 15/11/2019,7,4,3,0,0,0,3,1,0,3,1,0,0,0,3,0,0,2,2,0,2,0,0,0,2015-12-18,2018-04-20,FTS/HPC/PF/17/0525 | HOHP/PF/16/0010 | HOHP/PF/16/0009 | HOHP/PF/15/0039 | HOHP/PF/15/0039 | HOHP/PF/16/0009 | HOHP/PF/16/0010
PF000258,Queens Cross Factoring Limited,Queens Cross Factoring Limited,Company,"45 Firhill Road, Glasgow, G20 7BA",Glasgow,G20 7BA,https://www.qcfactoring.co.uk,4924,Registered,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2017-03-06,2017-03-06,HOHP/PF/16/0167
PF000394,Queens Cross Housing Association,Queens Cross Housing Association,Registered Social Landlord,"45 Firhill Road, Glasgow, G20 7BE",Glasgow,G20 7BE,,0,Registration expired on 04/05/2016,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2019-03-07,2019-03-07,FTS/HPC/PF/18/2966
PF000148,Raeburn Hope,Raeburn Hope,Partnership,"77 Sinclair Street, Helensburgh, G84 8TG",Helensburgh,G84 8TG,,0,Registration expired on 17/01/2017,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000710,RCB Property Services Limited,RCB Property Services Limited,Company,"Hattrick Farm, BRIDGE OF WEIR, PA11 3SF",Hattrick Farm,PA11 3SF,,0,Registration expired on 23/09/2020,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000110,Redpath Bruce Property Management Limited,Redpath Bruce Property Management Limited,Company,"152 West Regent Street, Glasgow, G2 2RQ",Glasgow,G2 2RQ,https://www.redpathbruce.co.uk,12559,Registered,22,15,6,1,2,4,4,4,4,4,2,1,1,0,8,0,3,8,1,1,3,12,10,10,2013-06-11,2024-05-29,FTS/HPC/PF/23/2204 | FTS/HPC/PF/23/0716 + 0717 | FTS/HPC/PF/23/0716 + 0717 | FTS/HPC/PF/23/0716 + 0717 | FTS/HPC/PF/22/3665 | FTS/HPC/PF/22/2514 | FTS/HPC/PF/21/2636 | FTS/HPC/PF/22/1569 | FTS/HPC/PF/21/2587 | FTS/HPC/PF/21/1765 | FTS/HPC/PF/21/1613 | FTS/HPC/PF/21/0593 | FTS/HPC/GP/21/0005 | FTS/HPC/PF/21/0020 | FTS/HPC/PF/21/0042 | FTS/HPC/PF/21/0043 | FTS/HPC/PF/21/0044 | FTS/HPC/PF/21/0045 | FTS/HPC/PF/21/0047 | FTS/HPC/PF/18/1405 | FTS/HPC/PF/17/0398 | FTS/HPC/PF/17/0081 | FTS/HPC/PF/17/0082 | FTS/HPC/PF/17/0081.0082 | HOHP/PF/16/0012 | HOHP/PF/13/0051 | FTS/HPC/LA/23/0225
PF000633,Redwood Retreats Ltd,Redwood Retreats Ltd,Company,"Pitlivie Farm, Carnoustie, DD76LU",Pitlivie Farm,DD76LU,,0,Registration expired on 14/01/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000564,Regent Factor Ltd,Regent Factor Ltd,Company,"100 Maxwell Street, Glasgow, G1 4EQ",Glasgow,G1 4EQ,https://regentproperty.com/,61,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000099,Reidvale Housing Association,Reidvale Housing Association,Registered Social Landlord,"13 Whitevale Street, Dennistoun, Glasgow, G31 1QW",Dennistoun,G31 1QW,https://reidvale.org.uk,825,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000831,Rendall and Rittner Limited,Rendall and Rittner Limited,Company,"13b St George Wharf, London, SW8 2LE",London,SW8 2LE,https://www.rendallandrittner.co.uk,498,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000284,Renfrewshire Council,Renfrewshire Council,Local Authority,"Renfrewshire House, Cotton Street, Paisley, PA1 1JD",Renfrewshire House,PA1 1JD,https://www.renfrewshire.gov.uk,2245,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000923,RentirPro limited,Rentir,Company,"5 Maude Place, Kirkliston, EH29 9FH",Kirkliston,EH29 9FH,https://rentir.co.uk/,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000111,Rentolease Property Management Ltd,Rentolease Property Management Ltd,Company,"123 Main Street, Prestwick, KA9 1LA",Prestwick,KA9 1LA,,476,Registered,4,2,2,0,0,0,2,1,0,2,1,0,0,0,1,0,2,2,0,0,0,2,0,2,2016-08-31,2025-03-19,FTS/HPC/PF/24/2025 | FTS/HPC/PF/22/0311 & FTS/HPC/PF/22/0312 | FTS/HPC/PF/22/0311 & FTS/HPC/PF/22/0312 | HOHP/PF/16/0080
PF000195,Residential Management Group Limited,Residential Management Group Limited,Company,"RMG House, Essex Road, Hoddesdon, EN11 0DR",RMG House,EN11 0DR,,0,Registration expired on 16/09/2019,4,3,1,0,1,0,0,2,1,0,2,0,1,0,0,1,1,3,2,1,1,2,3,1,2020-03-12,2022-01-14,FTS/HPC/PF/20/2019 | FTS/HPC/PF/20/2020 | FTS/HPC/PF/20/2021 | FTS/HPC/PF/20/2022 | FTS/HPC/PF/20/2023 | FTS/HPC/PF/20/2024 | FTS/HPC/PF/19/3399 | FTS/HPC/PF/19/3788 | FTS/HPC/PF/20/2008
PF000763,Residential Management Group Scotland Limited,Residential Management Group Scotland Limited,Company,"Unit 6, 95 Morrison Street, Glasgow, G5 8BE",Glasgow,G5 8BE,https://rmgscotland.com,11735,Registered,26,18,8,0,3,4,4,4,6,4,3,1,3,0,8,2,6,8,4,5,2,7,7,7,2020-10-07,2025-05-02,FTS/HPC/PF/23/1960 | FTS/HPC/PF/24/3113 | FTS/HPC/PF/23/4235 | FTS/HPC/PF/24/1474 | FTS/HPC/PF/23/4212 | FTS/HPC/PF/23/3843 | FTS/HPC/PF/24/1497 | FTS/HPC/PF/23/3095 | FTS/HPC/LM/23/2092 | FTS/HPC/PF/22/4515 | FTS/HPC/LM/22/2043 | FTS/HPC/PF/22/2276 | FTS/HPC/LM/22/3184 | FTS/HPC/LM/22/2880 | FTS/HPC/LM/22/1998 | FTS/HPC/PF/21/2591 | FTS/HPC/PF/21/2332 | FTS/HPC/PF/21/2011 | FTS/HPC/PF/21/2459 | FTS/HPC/LM/21/0290 | FTS/HPC/PF/20/2100 | FTS/HPC/PF/20/2100 | FTS/HPC/PF/20/2100 | FTS/HPC/PF/20/1396 | FTS/HPC/PF/20/1383 | FTS/HPC/PF/20/1383 | FTS/HPC/PF/23/1169
PF000954,Reu-Lake Properties Ltd,Reu-Lake Properties Ltd,Company,"87 Albion Street, Coatbridge, ML5 3SD",Coatbridge,ML5 3SD,,0,Registration expired on 13/02/2025,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000871,Ritchie Leasing Limited,Ritchie Leasing Ltd,Company,"3 Market Square, Stonehaven, AB39 2BT",Stonehaven,AB39 2BT,https://www.ritchieleasing.co.uk,9,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000152,River Clyde Homes,River Clyde Homes,Company,"Clyde View, 22 Pottery Street, Greenock, PA15 2UZ",Clyde View,PA15 2UZ,https://www.riverclydehomes.org.uk,4682,Registered,23,16,7,0,2,3,3,4,3,3,2,0,4,0,9,0,2,11,5,2,2,7,5,9,2014-02-21,2025-11-19,FTS/HPC/PF/24/2710 | FTS/HPC/PF/24/4033 | FTS/HPC/PF/22/4175 | FTS/HPC/PF/23/0097 | FTS/HPC/PF/22/4270 | FTS/HPC/PF/23/0064 | FTS/HPC/PF/22/4174 | FTS/HPC/PF/23/0028 | FTS/HPC/PF/21/2823 & FTS/HPC/PF/21/2535 | FTS/HPC/PF/21/1833 | FTS/HPC/PF/21/1295 | FTS/HPC/PF/21/1547 | FTS/HPC/PF/21/0327 | FTS/HPC/PF/21/0795 | FTS/HPC/PF/19/3715 | FTS/HPC/PF/18/2024 | FTS/HPC/PF/18/2148 | FTS/HPC/PF/17/0281 | FTS/HPC/PF/17/0281 | FTS/HPC/PF/17/0142 | HOHP/PF/13/0234 | FTS/HPC/PF/19/2316 | FTS/HPC/PF/19/2316 | FTS/HPC/PF/20/2314
PF000780,RM Lettings & Sales Ltd,RM Lettings & Sales Ltd,Company,"71, Milton Road, Kirkcaldy, KY1 1TP",Milton Road,KY1 1TP,,0,Registration expired on 17/08/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000166,Robert Murray,Lickley Proctor Lettings,Sole Trader,"58 Bell Street, Dundee, DD1 1HF",Dundee,DD1 1HF,,0,Registration expired on 09/02/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000463,Robert Smith,Property Management Options,Sole Trader,"6 Robert Street, Port Glasgow, PA14 5NU",Glasgow,PA14 5NU,,22,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000524,Robertson Property Management Limited,Robertson Property Management Limited,Company,"76 East Dock Street, Dundee, DD1 3LH",Dundee,DD1 3LH,https://www.robertsonpm.co.uk,386,Registered,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,,,
PF000133,Robin Williamson,Sharp and Fairlie,Sole Trader,"103 Douglas Street, Glasgow, G2 4HA",Glasgow,G2 4HA,,0,Registration expired on 24/08/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000782,Rockford Properties Ltd,Rockford Properties Ltd,Company,"50 Castle Street, Dundee, DD1 3AQ",Dundee,DD1 3AQ,https://www.rockfordproperties.co.uk,69,Registered,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,,,FTS/HPC/PF/20/1501
PF000601,Rockford Properties Ltd,Rockford Properties Ltd,Company,"50 Castle Street, Dundee, DD1 3AQ",Dundee,DD1 3AQ,,0,Registration expired on 13/08/2018,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000136,Roger G Dodd & Company,Roger G Dodd & Company,Sole Trader,"Bridge Street, Kelso, TD5 7JD",Bridge Street,TD5 7JD,,0,Registration expired on 03/12/2018,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000167,Rollos Town & Gown Limited,Rollos Town & Gown Limited,Company,"114 South Street, St Andrews, KY16 9QD",St Andrews,KY16 9QD,,0,Registration expired on 11/06/2019,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000272,Rosehill Housing Co-operative Limited,Rosehill Housing Co-operative Limited,Registered Social Landlord,"250 Peat Road, Pollok, Glasgow, G53 6SA",Pollok,G53 6SA,,274,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000196,Ross & Liddell Ltd,Ross & Liddell Ltd,Company,"60  St Enoch Square, Glasgow, G1 4AW",Glasgow,G1 4AW,https://www.ross-liddell.com,47994,Registered,67,41,22,4,2,2,11,8,2,11,6,0,11,0,35,3,7,24,7,7,7,19,12,24,2014-06-16,2025-11-24,FTS/HPC/PF/24/1702 | FTS/HPC/PF/25/0301 | FTS/HPC/PF/24/3450 | FTS/HPC/PF/25/2311 | FTS/HPC/PF/24/2616 | FTS/HPC/PF/24/2618 | FTS/HPC/PF/24/2426 | FTS/HPC/PF/24/2428 | FTS/HPC/PF/24/4464 | FTS/HPC/PF/24/2475 | FTS/HPC/PF/24/2022 | FTS/HPC/PF/24/1023 | FTS/HPC/PF/24/1636 | FTS/HPC/PF/23/2611 | FTS/HPC/LM/24/3567 | FTS/HPC/PF/24/2977 | FTS/HPC/PF/23/4109 | FTS/HPC/PF/24/2643 | FTS/HPC/LM/23/1664 | FTS/HPC/PF/24/1624 | FTS/HPC/PF/24/0376 | FTS/HPC/PF/22/3674 | FTS/HPC/PF/18/1978 | HOHP/PF/14/0076 | HOHP/PF/14/0076 | FTS/HPC/PF/23/1095 | FTS/HPC/PF/23/0690 | FTS/HPC/PF/22/1934 | FTS/HPC/PF/23/1122 + 1123 | FTS/HPC/PF/23/0331 | FTS/HPC/PF/22/4273 | FTS/HPC/PF/23/0328 | FTS/HPC/PF/22/1290 | FTS/HPC/PF/21/3008 | FTS/HPC/PF/22/0409 | FTS/HPC/PF/19/4002 | FTS/HPC/PF/21/1836 | FTS/HPC/PF/21/1132 | FTS/HPC/LM/21/1223 | FTS/HPC/PF/21/0033 | FTS/HPC/PF/20/1427 | FTS/HPC/PF/18/3490 | FTS/HPC/PF/19/1574 | FTS/HPC/PF/19/2269 | FTS/HPC/PF/19/1684 | FTS/HPC/PF/19/0445 | FTS/HPC/PF/19/0336 | FTS/HPC/PF/18/2926 | FTS/HPC/PF/18/0185 | FTS/HPC/PF/18/0186 | FTS/HPC/PF/17/0262 | FTS/HPC/PF/17/0276 | HOHP/PF/16/0152 | HOHP/PF/16/0055 | HOHP/PF/16/0092 | HOHP/PF/16/0053 | HOHP/PF/15/0140 | HOHP/PF/15/0125 | HOHP/PF/15/0042 | HOHP/PF/14/0157 | HOHP/PF/15/0058 | HOHP/PF/15/0064/0065 | HOHP/PF/14/0132 | HOHP/LM/14/0124 | HOHP/PF/14/0107 | HOHP/LM/14/0113 | HOHP/PF/14/0076 | HOHP/PF/13/0327 | FTS/HPC/PF/18/2906 | FTS/HPC/PF/21/0163
PF000970,Ross Clarihew,J V Carroll,Sole Trader,"Inverden House, Queens Lane North, ABERDEEN, AB15 4DF",Inverden House,AB15 4DF,,0,Registration expired on 28/07/2025,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000198,Ross McLeish,Ross McLeish Factor & Property Maintenance,Sole Trader,"2 Avonhead Gardens, Condorrat, Cumbernauld, Glasgow, G67 4SL",Condorrat,G67 4SL,,0,Registration expired on 23/03/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000767,Rothesay Residentials Limited,Rothesay Residentials Limited,Company,"4 Bellevue Road, Rothesay, PA20 0DT",Rothesay,PA20 0DT,,0,Registration expired on 24/09/2024,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000559,Ruchazie Housing Association Limited,Ruchazie Housing Association Limited,Registered Social Landlord,"24 Avondale Street, Glasgow, G33 3QS",Glasgow,G33 3QS,https://ruchazieha.co.uk,6,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000398,Rumroy Ltd,Rumroy Ltd,Company,"Rumachroy Lodge, Meikleburn, Nairn, IV12 5UX",Rumachroy Lodge,IV12 5UX,,0,Registration expired on 17/09/2018,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000330,Rural Stirling Housing Association,Rural Stirling Housing Association,Registered Social Landlord,"Stirling Road, Doune, FK16 6AA",Stirling,FK16 6AA,https://www.rsha.org.uk,43,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000345,Rutherglen and Cambuslang Housing Association Ltd,Rutherglen and Cambuslang Housing Association Ltd,Registered Social Landlord,"Aspire Business Centre, 16 Farmeloan Road, Rutherglen, G73 1DL",Aspire Business Centre,G73 1DL,https://www.randcha.co.uk,930,Registered,2,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,2014-12-05,2025-02-05,FTS/HPC/PF/24/0058 | HOHP/PF/14/0120
PF000370,S & D Properties (Edinburgh) Ltd,S & D Properties (Edinburgh) Ltd,Company,"Suite 1/1, 79 West Regent Street, Glasgow, G2 2AW",Glasgow,G2 2AW,,0,Registration expired on 03/12/2018,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000491,S&E SERVICES UN LIMITED,S&E SERVICES UN LIMITED,Company,"35 Strathmartine Road, Dundee, DD3 7RW",Dundee,DD3 7RW,,0,Registration expired on 09/11/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000124,Sanctuary Scotland Housing Association Ltd,Sanctuary Scotland Housing Association Ltd,Registered Social Landlord,"Sanctuary House, 7 Freeland Drive, Glasgow, G53 6PG",Sanctuary House,G53 6PG,https://scotland.sanctuary.co.uk/,4314,Registered,4,4,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,1,0,0,3,2,2,2016-09-28,2018-12-21,FTS/HPC/PF/18/2450 | FTS/HPC/PF/18/0233 | HOHP/PF/16/0047 | HOHP/PF/16/0094
PF000634,Saqsaa Ltd,Saqsaa Ltd,Company,"171 Maxwell Road, Glasgow, G41 1TG",Glasgow,G41 1TG,,0,Registration expired on 11/06/2019,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000512,Savills (UK) Limited,Savills (UK) Limited,Company,"33 Margaret Street, London, W1G 0JD",London,W1G 0JD,,0,Registration expired on 28/05/2024,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001000,SC Business Gateway Ltd,A1 Glasgow Letting,Company,"65 Suite 3/4, 65 Bath Street, Glasgow, G2 2BX",Glasgow,G2 2BX,https://www.scbusinessgateway.com,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000864,Scott Woods,Garratt Factoring,Sole Trader,"Dungrianach, Lady Ileene Road, Tarbert, Argyll, PA29 6TU",Dungrianach,PA29 6TU,,7,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000213,Scottish Borders Housing Association,Scottish Borders Housing Association,Registered Social Landlord,"South Bridge House, Whinfield Road, Selkirk, TD7 5DT",South Bridge House,TD7 5DT,https://www.sbha.org.uk,5688,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000121,Scottish Woodlands Ltd,Scottish Woodlands Ltd,Company,"Landscaping Division, Research Park, Riccarton, Edinburgh, EH14 4AP",Landscaping Division,EH14 4AP,,10116,Registered,6,4,1,1,0,3,0,0,3,0,0,0,1,0,2,0,3,3,3,2,0,0,0,3,2015-11-05,2025-10-21,FTS/HPC/LM/23/1919 | FTS/HPC/LM/23/1919 | HOHP/PF/15/0088 | HOHP/PF/15/0088 | HOHP/PF/15/0088 | FTS/HPC/PF/18/3169
PF000144,Screenautumn Limited,Screenautumn Limited,Company,"Alexander Fleming House, 8 Southfield Drive, Elgin, IV30 6GR",Alexander Fleming House,IV30 6GR,,0,Registration expired on 02/05/2025,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000702,Select Premier Letting Limited,Select Premier Letting Limited,Company,"3 Stewarton Street, Wishaw, Wishaw, ML2 8AA",Wishaw,ML2 8AA,,0,Registration expired on 17/02/2020,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000899,Select Premier Letting Ltd,Select Premier Letting Ltd,Company,"3 Stewarton Street, Wishaw, ML2 8AA",Wishaw,ML2 8AA,https://www.selectpropertyltd.co.uk,28,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000207,SELECT PROPERTY MANAGEMENT SERVICES (ABERDEEN) LTD,SELECT PROPERTY MANAGEMENT SERVICES (ABERDEEN) LTD,Company,"FACTORS OFFICE, BANNERMILL PLACE, ABERDEEN, AB24 5EG",FACTORS OFFICE,AB24 5EG,,0,Registration expired on 05/01/2016,8,8,0,0,1,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-30,2015-12-02,HOHP/PF/15/0063 | HOHP/PF/14/0084 | HOHP/PF/14/0085 | HOHP/PF/14/0086 | HOHP/PF/14/0087 | HOHP/PF/14/0088 | HOHP/PF/14/0098 | HOHP/PF/13/0325
PF000889,Senica Limited,Johnson & Co Retirement Factors,Company,"58 Drumlin Drive, Milngavie, G62 6NQ",Milngavie,G62 6NQ,,0,Registration expired on 28/11/2023,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000909,Sentry Management Ltd,Sentry Management Ltd,Company,"272 Bath Street, Glasgow, G2 4JR",Glasgow,G2 4JR,https://www.sentry.scot,643,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000492,SGL Property Ltd,SGL Property Ltd,Company,"Top Floor, India Buildings, 86 Bell Street, Dundee, DD1 1HN","Top Floor, India Buildings",DD1 1HN,,0,Registration expired on 23/12/2019,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,2018-12-04,2018-12-04,FTS/HPC/LM/18/2026- 2031 - 2032 - 2033
PF000175,Shafaatulla Property Management Limited,SPM,Company,"41 Berwick Drive, Glasgow, G52 3JA",Glasgow,G52 3JA,https://www.spmglasgow.co.uk,219,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000556,Shanley lettings Limited,Shanley lettings Limited,Company,"2 Drumsheugh Gardens, EDINBURGH, EH37QJ",Edinburgh,EH37QJ,,0,Registration expired on 16/10/2017,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000390,Sheltered Housing Management Limited,Sheltered Housing Management Limited,Company,"13 Ward Road, Dundee, DD1 1LP",Dundee,DD1 1LP,,0,Registration expired on 14/03/2016,6,5,1,0,0,1,1,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2013-12-10,2016-04-20,HOHP/PF/14/0203 | HOHP/PF/14/0203 | HOHP/PF/14/0011 | HOHP/PF/14/0011 | HOHP/PF/14/0058 | HOHP/PF/13/0073
PF000226,Shettleston Housing Association Limited,Shettleston Housing Association Limited,Registered Social Landlord,"65 Pettigrew Street, Glasgow, G32 7XR",Glasgow,G32 7XR,https://www.shettleston.co.uk,2745,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000373,Shire Housing Association Limited,Shire Housing Association Limited,Registered Social Landlord,"Netherthird House, Glaisnock Road, Cumnock, KA18 3DB",Netherthird House,KA18 3DB,https://shirehousing.co.uk/,938,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000772,Sigma Estate Services Ltd,Sigma Estate Services Ltd,Company,"C/o Advantage Accounting (Scotland) Ltd, 11 Somerset Place, Glasgow, G3 7JT",Glasgow,G3 7JT,,0,Registration expired on 29/06/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000306,Simple Approach Letting Agents Ltd,Simple Approach Letting Agents Ltd,Company,"13-15 St Leonards Bridge, Perth, PH2 0DR",Perth,PH2 0DR,,0,Registration expired on 11/07/2025,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000531,Simply Factors Limited,Simply Factors Limited,Company,"17-17a Academy Street, Edinburgh, EH6 7AA",Edinburgh,EH6 7AA,https://www.simplyfactors.com,634,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000748,Simply Factors North Limited,Simply Factors North Limited,Company,"57 Station Road, Ellon, AB41 9AR",Ellon,AB41 9AR,,0,Registration expired on 20/11/2020,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000553,Smart & Co (Scotland) Ltd,Smart & Co (Scotland) Ltd,Company,"Drumtully, Dalginross, Comrie, PH6 2HE",Drumtully,PH6 2HE,,0,Registration expired on 29/08/2017,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000419,SMART MOVE PROPERTY FACTORS LIMITED,SMART MOVE PROPERTY FACTORS LIMITED,Company,"LADYWELL BUSINESS CENTRE, 94 DUKE STREET, GLASGOW, G4 0UW",LADYWELL BUSINESS CENTRE,G4 0UW,,0,Registration expired on 07/03/2016,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000440,SMF Property Management,SMF Property Management,Company,"12 Sunnybank Grove, Glasgow, G76 7SU",Glasgow,G76 7SU,,0,Registration expired on 22/03/2016,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
