registration_number,name,trading_name,trading_type,address,city,postcode,website,property_count,status,tribunal_total_cases,tribunal_negative_outcomes,tribunal_positive_outcomes,tribunal_neutral_outcomes,tribunal_pfeo_issued,tribunal_pfeo_proposed,tribunal_pfeo_resolved,tribunal_pfeo_unresolved,tribunal_pfeo_pending,tribunal_complied,tribunal_failure_to_comply,tribunal_dismissed,tribunal_rejected,tribunal_withdrawn,tribunal_other_outcomes,tribunal_upper_tribunal_appeals,tribunal_section_1_violations,tribunal_section_2_violations,tribunal_section_3_violations,tribunal_section_4_violations,tribunal_section_5_violations,tribunal_section_6_violations,tribunal_section_7_violations,tribunal_pf_duty_violations,tribunal_earliest_case,tribunal_latest_case,tribunal_case_refs
PF000620,Lisney (NI) Ltd,Lisney (NI) Ltd,Company,"1st Floor Montgomery House, 29-33 Montgomery Street, Belfast, BT1 4NX",Belfast,BT1 4NX,,0,Registration expired on 23/11/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000737,LIV Group Limited,LIV Group Limited,Company,"Whitehall Waterfront, 2 Riverside Way, Leeds, LS1 4EH",Whitehall Waterfront,LS1 4EH,,0,Registration expired on 23/09/2020,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000122,Lloyd Younger Ltd,Lloyd Younger Ltd,Company,"Midland Farm, Unit 1, FENWICK, KA3 6BY",Midland Farm,KA3 6BY,,0,Registration expired on 11/11/2025,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2021-12-02,2022-07-07,FTS/HPC/PF/21/0404 | FTS/HPC/PF/21/0404
PF000615,Loch Tay Highland Lodge Park Ltd,Loch Tay Highland Lodge Park Ltd,Company,"Milton Morenish Estate, Killin, FK21 8TY",Milton Morenish Estate,FK21 8TY,https://www.lochtay-vacations.co.uk,30,Registered,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2019-12-04,2019-12-04,FTS/HPC/LM/19/2134
PF000340,Lochaber Housing Association Ltd,Lochaber Housing Association Ltd,Registered Social Landlord,"101 High Street, Fort William, PH33 6DG",Fort William,PH33 6DG,https://www.lochaberhousing.org.uk,568,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000363,Lochaber Housing Association Property Services CIC,Lochaber Housing Association Property Services CIC,Company,"101, High Street, Fort William, PH33 6DG",High Street,PH33 6DG,https://www.lochaberhousing.org.uk,40,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000139,Lochalsh & Skye Housing Association,Buidheann Tigheadas Loch Aillse agus an Eilein Sgi,Registered Social Landlord,"Morrison House, Bayfield, Portree, IV51 9EW",Morrison House,IV51 9EW,https://www.LSHA.co.uk,126,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000426,Lochaweside Management Company Ltd,Lochaweside Management Company Ltd,Company,"Cobbs Wood Cottage, Old Wimpole Road, Arrington, Royston, SG8 0BP",Cobbs Wood Cottage,SG8 0BP,,0,Registration expired on 17/11/2023,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000221,Lochfield Park Housing Association Limited,Lochfield Park Housing Association Limited,Registered Social Landlord,"37 Drumlanrig Avenue, Glasgow, G34 0JF",Glasgow,G34 0JF,https://www.lochfield.co.uk,6,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000399,Lomond Estate Agents Ltd,Lomond Estate Agents Ltd,Company,"26 Parkhouse Street, Ayr, KA7 2HH",Ayr,KA7 2HH,,0,Registration expired on 23/08/2019,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
